row_index,doc_id,question,answer,true_label,predicted_label,verdict,entailment_score,neutral_score,contradiction_score,max_similarity,retrieved_context,is_correct,error_type,verdict_detail
249,makita_drill.pdf,How do I perform a screwdriving operation with this tool?,"Place the point of the driver bit in the screw head and 
apply pressure to the tool. Start the tool quickly and then 
increase the speed gradually. Release the switch trigger 
as soon as the clutch cuts in.",1,0,GROUNDED,0.9653,0.0049,0.0298,0.8648,"the other hand on the bottom of the battery cartridge to control the twisting action. Screwdriving operation CAUTION: Adjust the adjusting ring to the proper torque level for your work. CAUTION: Make sure that the driver bit is inserted straight in the screw head, or the screw and/or driver bit may be damaged. Place the point of the driver bit in the screw head and apply pressure to the tool. Start the tool slowly and then increase the speed gradually. Release the switch trigger as soon as the c",False,FN,GROUNDED
250,makita_drill.pdf,What is the purpose of the hook that can be installed on the tool?,The hook is convenient for permanently storing the tool.,1,1,UNCERTAIN,0.4965,0.0111,0.4925,0.8023,"or attachments are recommended for use with your Makita tool specified in this manual. The use of any other accessories or attachments might present a risk of injury to persons. Only use accessory or attachment for its stated purpose. If you need any assistance for more details regard- ing these accessories, ask your local Makita Service Center. • Drill bits • Driver bits • Driver bit holder • Hook • Makita genuine battery and charger NOTE: Some items in the list may be included in the tool pack",True,TP,UNCERTAIN_LEANING_GROUNDED
251,nintendo_2ds_xl.pdf,What audio file formats are compatible with Nintendo 3DS Sound?,"AAC files with .m4a, .mp4, and .3gp extensions, or MP3 files with .mp3 extensions.",0,0,GROUNDED,0.9939,0.001,0.0051,0.8438,"Sound. Music files saved on an SD Card won’t play in Nintendo 3DS Sound. • Check to make sure the files are in a format compatible with Nintendo 3DS Sound. The files must be in the following format: AAC files with .m4a, .mp4, and .3gp extensions, or MP3 files with .mp3 extensions. Bit rate of 16kbps - 320kbps and sampling frequency of 32kHz - 48kHz. NOTE: The New Nintendo 2DS XL cannot play copy-protected music files. If your system still does not operate correctly after reviewing the above prob",True,TN,GROUNDED
252,prusa_3d-printer.pdf,How do I load filament into the printer?,"1. Cut the end of the filament into a sharp point. Push the filament through the hole in the 
filament guide and insert the plastic strand into the opening at the bottom of the Nextruder. If the 
filament sensor is on, the filament will be automatically fed. If the filament sensor is off, 
proceed t",1,1,UNCERTAIN,0.8624,0.0038,0.1338,0.906,"filament into a sharp point. Push the filament through the hole in the 1. filament guide and insert the plastic strand into the opening at the top of the Nextruder. If the filament sensor is on, the filament will be automatically fed. If the filament sensor is off, proceed to step 2, otherwise skip to step 3. Select LCD Menu - Filament - Load Filament and confirm with the button. 2. The Preheat menu will automatically appear. Select the material of the filament you want to 3. insert and confirm ",True,TP,UNCERTAIN_LEANING_GROUNDED
253,tesla_model_s.pdf,What warning is given regarding key fob batteries?,"WARNING: Key fob batteries contain a chemical burn hazard and should not be ingested. The key fob contains a coin cell battery. If the coin cell battery is swallowed, it can cause severe internal burns within two hours and can lead to death.",0,0,GROUNDED,0.9926,0.0014,0.006,0.9627,"WARNING: Key fob batteries contain a chemical burn hazard and should not be ingested. The key fob contains a coin cell battery. If the coin cell battery is swallowed, it can cause severe internal burns within two hours and can lead to death. Keep new and used batteries away from children. If the battery compartment does not close securely, stop using the product and keep it away from children. If you think batteries might have been swallowed or placed inside any part of the body, seek immediate ",True,TN,GROUNDED
254,dji_mavic_pro.pdf,What kind of propellers should I use with the Mavic Pro?,Use only DJI certified propellers with your Mavic Pro.,1,0,GROUNDED,0.997,0.0009,0.0021,0.792,"propellers. Handle with care. Use only the DJI approved propellers. Do not mix propeller types. Stand clear of the motors and DO NOT touch the propellers when they are spinning. Check that the propellers and motors are installed correctly and firmly before every flight. Ensure that all propellers are in good condition before each flight. DO NOT use aged, chipped, or broken propellers. To avoid injury, STAND CLEAR of and DO NOT touch propellers or motors when they are spinning. ONLY use original ",False,FN,GROUNDED
255,samsung_phone_zfold.pdf,What type of charging cable is included with the device?,USB Type-C 3A cable,0,0,GROUNDED,0.9967,0.0011,0.0022,0.7057,"Charge the battery Your device is powered by a rechargeable battery. A USB Type-C 3A cable is included. Learn more: samsung.com/us/support/answer/ANS00078994/ NOTE Wall charger sold separately. Use only Samsung-approved chargers and cables. To avoid injury or damage to your device, do not use incompatible, worn or damaged batteries, chargers or cables. Using other charging devices and batteries may not be covered under warranty and may cause damage. Learn more: samsung.com TIP While charging, th",True,TN,GROUNDED
256,laptop_lenovo_tc_x1.pdf,What is the procedure for enabling or disabling a hardware device in the Setup Utility?,1. Start the Setup Utility program. See “Starting the Setup Utility program” on page 29.\n\n\n2. Select **Devices** .\n\n\n3. Select the device you want to enable or disable and press Enter.\n\n\n4. Select the desired setting and press Enter.\n\n\n5. Exit the Setup Utility program. See “Exiting the,0,0,GROUNDED,0.9047,0.0031,0.0922,0.8714,"and change the configuration settings, follow the instructions on the right side of the screen. The keys used to perform various tasks are displayed at the bottom of the screen. Enabling or disabling a device This section provides information about how to enable or disable user access to hardware devices (such as USB connectors or storage drives). To enable or disable a device, do the following: 1. Start the Setup Utility program. See “Starting the Setup Utility program” on page 29. 2. Select De",True,TN,GROUNDED
257,omron_monitor.pdf,What is the full model designation for the OMRON M3 as listed in the technical data?,OMRON M3 (HEM-7200-E/ HEM-7200-E9),1,1,UNCERTAIN,0.7546,0.0054,0.24,0.7907,"6. Technical Data • This device fulfils the provisions of EC directive 93/42/EEC (Medical Device Directive). • This blood pressure monitor is designed according to the European Standard EN1060, Non- invasive sphygmomanometers Part 1: General Requirements and Part 3: Supplementary requirements for electromechanical blood pressure measuring systems. • This OMRON product is produced under the strict quality system of OMRON HEALTHCARE Co. Ltd., Japan. The Core component for OMRON blood pressure moni",True,TP,UNCERTAIN_LEANING_GROUNDED
258,spot_boston_dynamics.pdf,What are the exact steps to put Spot into motor lockout mode?,1. Turn motor power off with the controller.\n\n2. Push the lockout button.\n\n3. Confirm red light is off.,0,0,GROUNDED,0.9688,0.0019,0.0293,0.8429,"the motors while the lockout is engaged. To handle Spot safely, the robot must be placed in lockout mode. To enable lockout: 1. Turn motor power off with the controller. 2. Push the lockout button. 3. Confirm red light is off.",True,TN,GROUNDED
259,makita_drill.pdf,What should I use to wipe dirt off the lens of the lamp?,Use a damp cloth to wipe the dirt off the lens of\nthe lamp.,1,1,HALLUCINATION,0.2989,0.0112,0.6899,0.7197,"ENGLISH MAINTENANCE CAUTION: Always be sure that the tool is switched off and the battery cartridge is removed before attempting to perform inspection or maintenance. NOTICE: Never use gasoline, benzine, thinner, alcohol or the like. Discoloration, deformation or cracks may result. To maintain product SAFETY and RELIABILITY, repairs, any other maintenance or adjustment should be performed by Makita Authorized or Factory Service Centers, always using Makita replacement parts. OPTIONAL ACCESSORIES",True,TP,HALLUCINATION
260,spot_boston_dynamics.pdf,What is the primary hazard associated with Spot's joints when motors are active?,Fingers may break or get amputated if caught\\nin joints while Spot’s motors are active.,0,0,GROUNDED,0.9889,0.0015,0.0096,0.8722,"R 2.0 V A PINCH POINTS Spot’s joints can pinch fingers and other body parts and entangle loose clothing, long hair, and jewelry. Only handle Spot when the motors are locked out (see page 14) or robot power is off. SAFETY IN HANDLING Fingers may break or get amputated if caught in joints while Spot’s motors are active. Stay at least 2m away when Spot is powered on (except to press the lockout or power buttons). 1. Never touch Spot when motors are active. Stay at least 2m away at all times. 2. Bef",True,TN,GROUNDED
261,lg_home_theater.pdf,What is the recovery procedure if Progressive Scan is set to 'On' by mistake and there is no picture?,"First, remove the disc in the unit. Next, press STOP( x ) and hold it for three seconds before releasing it.",1,1,UNCERTAIN,0.5551,0.0105,0.4344,0.7734,Installation and Setup DISPLAY TV Aspect 4:3 – Select when a standard 4:3 TV is connected. 16:9 – Select when a 16:9 wide TV is connected. Display Mode The display Mode setting works only when the TV Aspect mode is set to “4:3”. Letterbox – Displays a wide picture with bands on the upper and lower portions of the screen. Panscan – Automatically displays the wide picture on the entire screen and cuts off the portions that do not fit. Progressive Scan Progressive Scan Video provides the highest qu,True,TP,UNCERTAIN_LEANING_GROUNDED
262,ford_mach_e.pdf,Why does the car make a sound at low speeds?,"Due to the quiet operation of hybrid and electric vehicles at medium speeds, the system creates a subtle sound to alert pedestrians.",1,1,UNCERTAIN,0.584,0.01,0.406,0.7972,"REAR OCCUPANT ALERT SYSTEM AUDIBLE WARNINGS The first audible warning is an alert tone within the vehicle, which sounds when you switch your vehicle off after the alert conditions are met. The warning sounds for a short period of time. The second audible warning is from the horn. It sounds when you do not open a rear door within a short period of time of the message appearing in the center display, the first audible warning sounding, and driver door open to close. The warning sounds for a short ",True,TP,UNCERTAIN_LEANING_GROUNDED
263,tesla_model_s.pdf,What's the warning about using the touchscreen while driving?,"Always pay attention to road and traffic conditions when driving. To minimize driver distraction and ensure the safety of vehicle occupants as well as other road users, avoid using the touchscreen to adjust settings while the vehicle is stopped at intersections.",1,0,GROUNDED,0.9378,0.0041,0.0581,0.8105,"slow down and stop for it. WARNING: If the instrument cluster is not displaying a red stop line at an upcoming intersection, Model S does not slow down or stop. It is the driver's responsibility to pay attention to upcoming intersections and monitor traffic conditions to determine when and if the vehicle should stop and then to take appropriate action as needed. WARNING: Never depend on Traffic Light and Stop Sign Control to determine whether to stop at, or proceed through, an intersection. Driv",False,FN,GROUNDED
264,makita_drill.pdf,What is the net weight of the XFD12 model when using a BL1815N battery cartridge?,1.5 kg (3.4 lbs),0,0,GROUNDED,0.9722,0.0015,0.0262,0.7761,"ENGLISH ENGLISH (Original instructions) SPECIFICATIONS Model: XFD12 Drilling capacities Steel 13 mm (1/2"") Wood 38 mm (1-1/2"") Fastening capacities Wood screw 10 mm x 90 mm (3/8"" x 3-1/2"") Machine screw M6 (1/4"") No load speed (RPM) High (2) 0 - 2,000 /min Low (1) 0 - 500 /min Overall length 172 mm (6-3/4"") Rated voltage D.C. 18 V Standard battery cartridge BL1815N, BL1820B BL1830, BL1830B, BL1840B, BL1850B, BL1860B Net weight 1.5 kg (3.4 lbs) 1.8 kg (3.9 lbs) • Due to our continuing program of ",True,TN,GROUNDED
265,hilti_hammer.pdf,What should I do if the combihammer doesn't have any hammering action because it seems too cold?,"▶ Bring the tip of the accessory tool into contact with the working surface, switch the power tool on and allow it to run for 30 seconds. If necessary, repeat the procedure until the hammering mechanism begins to operate.",1,0,GROUNDED,0.9746,0.0037,0.0217,0.8455,"listed in this table or you are unable to remedy the problem by yourself, please contact Hilti Service. Trouble or fault Possible cause Action to be taken No hammering action. The product is too cold. ▶Bring the tip of the accessory tool into contact with the working surface, switch the power tool on and allow it to run. If necessary, repeat the procedure until the hammering mechanism begins to operate. Product does not develop full power. The extension cord is too long and/or its gauge is inade",False,FN,GROUNDED
266,apple_watch.pdf,How do I turn off my Apple Watch?,"press and hold the side button until the sliders appear, then drag the Power Off slider to the right.",0,0,GROUNDED,0.9943,0.001,0.0047,0.8391,"of the time, but if you need to turn it off, press and hold the side button until the sliders appear, then drag the Power Off slider to the right. Tip: You can’t turn off your Apple Watch while it’s charging. To turn off your Apple Watch, first disconnect it from the charger.",True,TN,GROUNDED
267,electrolux_oven.pdf,What is the nominal voltage and frequency for this oven?,230-240V~(50Hz),0,0,GROUNDED,0.9644,0.0038,0.0317,0.7925,"electrical connection electrolux 49 Electrical Connection The oven is designed to be connected to 230-240 V~(50Hz) electricity supply. The oven has an easily accessible termi­ nal block which is marked as follows: This oven must be earthed! The cable used to connect the oven to the electrical supply must comply to the specifications given be­ low. For UK use only It is necessary that you install a double pole switch between the oven and the electricity supply (mains), with a mini­ mum gap of 3 m",True,TN,GROUNDED
268,prusa_3d-printer.pdf,Is it safe to leave the 3D printer unattended while it is on?,Do not leave the printer unattended while it is in idle mode.,1,1,HALLUCINATION,0.0931,0.0048,0.9021,0.8223,"is connected to power or in operation—risk of injury from mechanical parts or electric shock. Prevent unauthorized persons, including children, from handling the printer, even when it is not printing.",True,TP,HALLUCINATION
269,hilti_hammer.pdf,What action is indicated by the product symbol that depicts a hammer and a drill bit?,Drilling with hammering action (percussion drilling),1,1,UNCERTAIN,0.6277,0.0122,0.3601,0.7936,"correctly engaged, is set to “Chiseling” , or is set to “Chisel positioning” . ▶Move the function selector switch to the “Hammer drilling” position while the motor is not rotating. The drill bit cannot be re- leased. The chuck is not pulled back fully. ▶Pull the tool lock back as far as it will go and remove the accessory tool. The side handle is not fitted cor- rectly. ▶Release the side handle and refit it correctly so that the clamping band and side handle engage in the recess. Product does no",True,TP,UNCERTAIN_LEANING_GROUNDED
270,dewalt_saw.pdf,Identify component 6 as labelled in Figure A.,Depth adjustment lever,1,0,GROUNDED,0.9565,0.0053,0.0382,0.755,"If you have questions or comments, contact us. Pour toute question ou tout commentaire, nous contacter. Si tiene dudas o comentarios, contáctenos. 1-800-4-DeWALT Instruction Manual Guide D’utilisation Manual de instrucciones 1 Trigger switch 2 Main handle 3 Blade lock 4 End cap 5 Auxiliary handle 6 Bevel adjustment lever 7 Bevel angle adjustment 8 Foot plate 9 Lower blade guard 10 Blade clamping screw 11 Lower guard lever 12 Upper blade guard 1 Gâchette 2 Poignée principale 3 Verrouillage de lam",False,FN,GROUNDED
271,lg_home_theater.pdf,What's the model number for this home theater system?,MODEL: LFD760,1,1,UNCERTAIN,0.6552,0.008,0.3367,0.7161,"and software protocols adopted after the date of manufacture or for outside the US, institutional or commercial use, or other causes not arising out of defect in material or workmanship. The cost of repair or replacement under these excluded circumstances shall be borne by the consumer. CUSTOMER INTER-ACTIVE CENTER NUMBERS: LG Electronics, Inc. Limited Warranty - USA For Warranty Service, Where to buy, Product Assistance, or Customer Assistance Call 1-800-243-0000 (24 hours a day, 365 days per y",True,TP,UNCERTAIN_LEANING_GROUNDED
272,dewalt_saw.pdf,"When replacing brushes, what specific type of replacement brushes should be used?",Use only identical Makita brushes.,1,1,UNCERTAIN,0.4064,0.3124,0.2811,0.7752,"the risk of injury, turn unit off and disconnect it from power source before installing and removing accessories, before adjusting or when making repairs. An accidental start-up can cause injury. Inspect carbon brushes regularly by disconnecting the tool from the power source, removing the four end cap screws 20 with a screwdriver, then removing the end cap 4 . Keep brushes clean and sliding freely in their guides. Always replace a used brush in the same orientation in the holder as it was prior",True,TP,UNCERTAIN_LEANING_GROUNDED
273,tesla_model_s.pdf,What type of battery is needed for the key fob replacement?,CR2430,1,1,UNCERTAIN,0.8737,0.0249,0.1014,0.8533,"touchscreen. To replace the key fob battery: 1. With the key fob placed button side down on a soft surface, release the bottom cover, using a small flat- bladed tool. 2. Remove the battery by lifting it away from the retaining clips. 3. While avoiding touching the battery's flat surfaces, insert the new battery (type CR2330) with the ‘+’ side facing up. NOTE: Wipe the battery clean before fitting and avoid touching the battery's flat surfaces. Finger marks on the flat surfaces of the battery can",True,TP,UNCERTAIN_LEANING_GROUNDED
274,dyson_v12.pdf,What problem does the 'Blockage' alert indicate?,Blockage – your machine has a blockage that needs removing after restarting.,1,0,GROUNDED,0.9254,0.005,0.0696,0.7795,"Battery health Run time countdown Alerts To get the best performance and life from your battery, use Eco or Auto/Med mode. When the battery needs charging, your machine will pulse three times and a low run time icon will appear on the screen. When your battery is empty, a red warning icon will appear on the screen. The alerts you might see are: Filter – the filter isn’t fitted correctly, or needs cleaning. Blockage – your machine has a blockage that needs removing. 4:50 Exit settings menu To exi",False,FN,GROUNDED
275,samsung_phone_zfold.pdf,What is the Hearing Aid Compatibility (HAC) rating for the Galaxy Z Fold5?,M4/T4 (2011),1,1,UNCERTAIN,0.6467,0.0058,0.3475,0.8565,High bitrate videos: Record videos in higher bit rate with the Pro video shooting mode. – HDR10+ videos: Optimize videos by recording in HDR10+. Playback devices must support HDR10+ video. – Zoom-in mic: Match the mic zoom to the camera zoom while recording videos (Galaxy Z Fold5 only). – 360 audio recording: Capture immersive 3D sound through your Bluetooth headphones with 360 audio recording. General • Fit to screen (3:4 ratio): Remove the black bars around the preview on the main screen in Fl,True,TP,UNCERTAIN_LEANING_GROUNDED
276,dyson_v12.pdf,On what parts of the Dyson V12 detect slim can I find its serial numbers?,"You can find your serial numbers on your machine, wand and charger.",1,1,UNCERTAIN,0.6878,0.013,0.2992,0.8311,"Replace your brush bar Your Laser Slim Fluffy™ cleaner head has a washable brush bar. To maintain optimum performance, check and wash your brush bar regularly. Make sure your machine is disconnected from the charger and take care not to touch the trigger. Washing your Laser Slim Fluffy™ brush bar Remove your brush bar Wash and dry your brush bar Don’t put any part of your machine in a dishwasher or use detergents, polishes or air fresheners. Press the cleaner head release button on the end of th",True,TP,UNCERTAIN_LEANING_GROUNDED
277,ford_mach_e.pdf,Under what conditions will the anti-theft alarm be triggered when it's armed?,"If someone opens a door, the liftgate or the trunk without a correctly coded key or remote control.
If you turn the power on without a correctly coded key.",1,0,GROUNDED,0.9731,0.0031,0.0239,0.8381,"the anti-theft alarm is triggered in any of the following ways: • If someone opens a door, the liftgate or the hood without a correctly coded key or remote control. • If you turn the power on without a correctly coded key. If the anti-theft alarm is triggered, the alarm horn sounds for 30 seconds and the direction indicators flash for 5 minutes. Any further attempts to carry out one of the above sounds the alarm again. WHAT IS THE PERIMETER ALARM The perimeter alarm is designed to detect unautho",False,FN,GROUNDED
278,dewalt_saw.pdf,How do I attach the dust port if I bought one?,"1. Align the dust port 23 over upper blade guard 12 as shown.
2. Insert three dust port screws 24 as shown and tighten securely.",1,1,UNCERTAIN,0.5486,0.0141,0.4373,0.7867,"the risk of personal injury, ALWAYS wear an approved dust mask. WARNING: ALWAYS use a vacuum extractor designed in compliance with the applicable directives regarding dust emission when sawing wood. Vacuum hoses of most common vacuum cleaners will fit directly into the dust extraction outlet. A dust extraction port is available at extra cost from your local dealer or authorized service center. Accessories WARNING: Since accessories, other than those offered by DeWALT, have not been tested with t",True,TP,UNCERTAIN_LEANING_GROUNDED
279,spot_boston_dynamics.pdf,What does 'NOTE' mean in this guide?,"Addresses practices not related to\nsafety, including tips to minimize perfor­\nmance and prevent damage to the robot",1,1,UNCERTAIN,0.0,1.0,0.0,0.698103129863739,[UNSUPPORTED] max_sim=0.698 < threshold=0.7,True,TP,UNCERTAIN
280,electrolux_oven.pdf,What does the 'Defrost' oven function do?,"For defrosting e. g. gateaux and flans, cheese, bread, vegetables or other frozen foods.",1,0,GROUNDED,0.9232,0.0091,0.0677,0.823,"shelf. The function is also suitable for browning and gratinbaking. Grill, top heat, fan Grill For grilling flat food items arranged in the middle of the grill and for toasting. Grill Dual grill For grilling flat food items in large quantities and for toasting. Grill, top heat Conventional For baking and roasting on one oven level. Top heat, bottom heat Bottom heat For baking cakes with crispy or crusty bases. Bottom heat Defrost For defrosting e. g. gateaux and flans, butter, bread, fruit or ot",False,FN,GROUNDED
281,prusa_3d-printer.pdf,What crucial safety rule applies to the printer when it is powered on?,Do not leave the printer unattended while it is in standby!,1,1,HALLUCINATION,0.1542,0.0046,0.8412,0.8742,"is connected to power or in operation—risk of injury from mechanical parts or electric shock. Prevent unauthorized persons, including children, from handling the printer, even when it is not printing.",True,TP,HALLUCINATION
282,laptop_lenovo_tc_x1.pdf,What is the name of the preinstalled diagnostic program used to test hardware components?,Lenovo Solution Center,0,0,GROUNDED,0.985,0.0026,0.0124,0.8085,USB device problems . . . . . . . . . . Software and driver problems . . . . . . . Diagnostics . . . . . . . . . . . . . . . . Lenovo Solution Center . . . . . . . . . Recovery information . . . . . . . . . . . . Recovery information for Windows 7 . . . . Recovery information for Windows 10. . . . Chapter 7. Installing or replacing hardware . . . . . . . . . .,True,TN,GROUNDED
283,samsung_phone_zfold.pdf,What is the FCC ID listed for the Galaxy Z Flip5?,A3LSMF731U,0,0,GROUNDED,0.9753,0.0014,0.0233,0.7284,"and zoom/Screen zoom: Configure the screen zoom level. Hearing enhancements You can configure settings to help you interact with your device’s sounds, including captioning, sound balance, and hearing aid support. The devices covered by this User manual are hearing aid compatible, and have these Hearing Aid Compatibility (HAC) rating(s): Device FCC ID HAC Rating Galaxy Z Flip5 A3LSMF731U M3/T3 (2011) Galaxy Z Fold5 A3LSMF946U M3/T3 (2011) ◌From Settings, tap Accessibility > Hearing enhancements a",True,TN,GROUNDED
284,hilti_hammer.pdf,What protection class is indicated by a symbol on the product?,Protection class I (double-insulated),1,1,UNCERTAIN,0.7214,0.0116,0.267,0.7667,"into contact with a live wire, metal parts of the power tool can also become live, resulting in an electric shock. ▶Do not touch rotating parts – risk of injury! ▶Wear eye protection, a hard hat and ear protection and suitable respiratory protection while the product is in use. ▶Wear protective gloves when changing the accessory tool. Touching the accessory tool can result in cuts and burns. ▶Wear eye protection. Flying fragments can injure the body and eyes. ▶Dust produced by grinding, sanding,",True,TP,UNCERTAIN_LEANING_GROUNDED
285,hilti_hammer.pdf,What type of plug is featured on the detachable supply cord?,"Supply cord with keyed, releasable plug",0,0,GROUNDED,0.9885,0.0016,0.0099,0.7661,"@ Lockbutton ; Connector on electric tool = Supply cord with keyed, releasable plug connector Intended use The product described is an electrically powered combihammer with pneumatic hammering mecha- nism. It is designed for drilling in concrete, masonry, wood and metal. The product can also be used for light- to medium-duty chiseling on masonry and surface finishing work on concrete. ▶The tool may be operated only when connected to a power source providing a voltage and frequency in compliance ",True,TN,GROUNDED
286,dewalt_saw.pdf,How should a pocket cut be performed with this circular saw?,"1. Adjust the saw shoe so the blade cuts at desired depth.\n2. Tilt the saw forward and rest front of the shoe on\nmaterial to be cut.\n3. Using the lower blade guard retracting lever, retract the\nlower blade guard to an upward position. Lower the rear of\nthe shoe until the blade teeth almost touc",0,0,GROUNDED,0.9422,0.0021,0.0557,0.8897,"cause the saw to raise up off the work surface, which could cause injury. A pocket cut is one that is made in a floor, wall or other flat surface. 1. Adjust the saw shoe so the blade cuts at desired depth. 2. Tilt the saw forward and rest front of the shoe on material to be cut. 3. Using the lower blade guard retracting lever, retract the lower blade guard to an upward position. Lower the rear of the shoe until the blade teeth almost touch the cutting line. 4. Release the lower blade guard (its ",True,TN,GROUNDED
287,electrolux_oven.pdf,What is the coating on the interior walls of the oven?,a special enamel (catalytic coating).,0,0,GROUNDED,0.9958,0.0012,0.003,0.8247,"8 electrolux description of the appliance Control Panel Oven Features All of the interior walls of the oven are coated in a special enamel (catalytic coating). Oven Functions Temperature selector Clock function buttons Oven power indicator Temperature Pilot Light Time display Top heat and heating elements Oven lighting Fan heating element Fan Bottom heat Shelf positions Oven shelf runners, removable",True,TN,GROUNDED
288,makita_drill.pdf,For how long does the front lamp remain illuminated after the switch trigger has been released?,The lamp goes out approximately 10 seconds after releasing the switch trigger.,0,0,GROUNDED,0.9928,0.0028,0.0044,0.8501,"ENGLISH Lighting up the front lamp ► 1. Lamp CAUTION: Do not look in the light or see the source of light directly. Pull the switch trigger to light up the lamp. The lamp keeps on lighting while the switch trigger is being pulled. The lamp goes out approximately 10 seconds after releasing the switch trigger. NOTE: When the tool is overheated, the tool stops automatically and the lamp starts flashing. In this case, release the switch trigger. The lamp turns off in one minute. NOTE: Use a dry clo",True,TN,GROUNDED
289,tesla_model_s.pdf,What's the warning about using the touchscreen while driving?,"Always pay attention to road and traffic conditions when driving. To minimize driver distraction and ensure\nthe safety of vehicle occupants as well as other road users, avoid using the touchscreen to adjust settings while the\nvehicle is in motion.",0,0,GROUNDED,0.9888,0.0014,0.0098,0.8105,"In addition to the instrument panel, Model S is equipped with a front and rear touchscreen. NOTE: Throughout this Owner's Manual, the front touchscreen is referred to as the ""touchscreen"" whereas the rear touchscreen is referred to as the ""rear touchscreen"". WARNING: Always pay attention to road and traffic conditions when driving. To minimize driver distraction and ensure the safety of vehicle occupants as well as other road users, avoid using the touchscreen to adjust settings while the vehicl",True,TN,GROUNDED
290,makita_drill.pdf,What is the function of the adjusting ring on the tool?,The fastening torque can be adjusted in 20 levels by turning the adjusting ring.,1,1,HALLUCINATION,0.3986,0.0043,0.5971,0.7637,"the direction of rotation before the tool stops may dam- age the tool. CAUTION: When not operating the tool, always set the reversing switch lever to the neu- tral position. This tool has a reversing switch to change the direction of rotation. Depress the reversing switch lever from the A side for clockwise rotation or from the B side for coun- terclockwise rotation. When the reversing switch lever is in the neutral posi- tion, the switch trigger cannot be pulled. Speed change ► 1. Speed change",True,TP,HALLUCINATION
291,spot_boston_dynamics.pdf,What does 'NOTE' mean in this guide?,"Addresses practices not related to\nsafety, including tips to maximize perfor­\nmance and prevent damage to the robot",0,1,UNCERTAIN,0.0,1.0,0.0,0.6898943781852722,[UNSUPPORTED] max_sim=0.690 < threshold=0.7,False,FP,UNCERTAIN
292,makita_drill.pdf,What type of drill bit is best for drilling in wood?,wood drills equipped with a guide screw,0,0,GROUNDED,0.9951,0.0009,0.0039,0.7808,"increase the speed gradually. Release the switch trigger as soon as the clutch cuts in. NOTE: When driving wood screw, pre-drill a pilot hole 2/3 the diameter of the screw. It makes driving easier and prevents splitting of the workpiece. Drilling operation First, turn the adjusting ring so that the arrow points to the marking. Then proceed as follows. Drilling in wood When drilling in wood, the best results are obtained with wood drills equipped with a guide screw. The guide screw makes drilling",True,TN,GROUNDED
293,dyson_v12.pdf,At what battery percentage is the machine considered fully charged according to the display?,Your battery is fully charged when the display shows 100%.,0,0,GROUNDED,0.9951,0.0017,0.0032,0.7682,"Charging your machine Connect to charger either directly or in the dock. The blue LEDs on either side of the battery will flash during charging. When the battery is fully charged, both LEDs will light for 5 seconds. Your battery is fully charged when the display shows 100%. Your machine won’t operate or charge if the ambient temperature is below 5°C(41°F). This is designed to protect both the motor and battery. If you have additional click-in batteries, we recommend that you alternate the batter",True,TN,GROUNDED
294,omron_monitor.pdf,What is the maximum number of measurement sets that the monitor can automatically store in its memory?,65 sets,1,1,UNCERTAIN,0.6911,0.0079,0.3011,0.7593,"3. Using the Unit EN 2. Remove the arm cuff. 3. Press the O/I START button to turn off the monitor. The monitor automatically stores the measurement in its memory. It will automatically turn off after five minutes. Important: • Recent research suggests that the following values can be used as a guide to high blood pressure for measurements taken at home. This criteria is for home blood pressure measurement. For professional office blood pressure measurement criteria, please refer to Chapter 7. •",True,TP,UNCERTAIN_LEANING_GROUNDED
295,dji_mavic_pro.pdf,On what page can I find information about the 'Intelligent Flight Battery'?,Intelligent Flight Battery 32,1,1,UNCERTAIN,0.7204,0.0052,0.2744,0.7514,"Aircraft Mavic Pro User Manual © 2017 DJI All Rights Reserved. The Intelligent Flight Battery must be fully charged before using it for the first time. Intelligent Flight Battery Introduction The DJI Intelligent Flight Battery has a capacity of 3830 mAh, a voltage of 11.4 V, and a smart charge/ discharge functionality. It should only be charged using an appropriate DJI approved charger. Intelligent Flight Battery Charger DJI Intelligent Flight Battery Functions 1. Battery Level Display: The LED ",True,TP,UNCERTAIN_LEANING_GROUNDED
296,lg_home_theater.pdf,What does DRC stand for in the AUDIO menu?,Digital Recording Compression (DRC),1,1,UNCERTAIN,0.8696,0.0056,0.1247,0.7937,"AUDIO Each DVD disc has a variety of audio output options. Set the unit’s AUDIO options according to the type of audio system you use. Dynamic Range Control (DRC) With the DVD*1 format, you can hear a program’s soundtrack in the most accurate and realistic presentation, thanks to digital audio technology. However, you may wish to compress the dynamic range of the audio output (the difference between the loudest sounds and the quietest ones). Then, you may listen to a movie at a lower volume with",True,TP,UNCERTAIN_LEANING_GROUNDED
297,apple_watch.pdf,Which watchOS version is this user guide based on?,watchOS 8.6,0,0,GROUNDED,0.9941,0.0018,0.0042,0.8136,Apple Watch User Guide Everything you need to know about Apple Watch watchOS 8.6,True,TN,GROUNDED
