question_id,persona,doc_id,language,question_text,category,gt_answer_snippet,gt_page_number,_self_grounded,parsed_steps,passed_strict_check,ragas_faithfulness,ragas_correctness,judge_score,corrected_steps,procedural_comments,annotator_A_correctness,annotator_A_groundedness,annotator_A_quality,annotator_B_correctness,annotator_B_groundedness,annotator_B_quality,annotator_A_snippet_correctness,annotator_A_parsing_quality,annotator_B_snippet_correctness,annotator_B_parsing_quality
dyson_v12_Q029,SafetyOfficer,dyson_v12.pdf,en,Which cleaning agents should be avoided for cleaning the bin to prevent damage to the machine?,Safety Information Lookup,"detergents, polishes or air fresheners",7,True,,True,1.0,0.9999998430000001,5,,,,,,,,,,,,
dyson_v12_Q031,Technician,dyson_v12.pdf,en,What is the measured suction power in Airwatts for the Boost mode?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
dyson_v12_Q032,Novice User,dyson_v12.pdf,en,How many hours of use can I expect from a fully charged battery when using Eco mode continuously?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
dyson_v12_Q044,Technician,dyson_v12.pdf,en,What is the recommended cleaning agent for the Hair screw tool's exterior?,Tool/Material Identification,Wipe over with a damp lint-free cloth.,12,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dyson_v12_Q046,Novice User,dyson_v12.pdf,en,How can I change the language shown on the LCD screen?,Procedural Step Inquiry,"To change the language on your screen, press the button and hold until the language list appears. Release the button. Tap the button to scroll through the language list to your preferred language. Press and hold the button until the countdown ends.",4,True,"['To change the language on your screen, press the button and hold until the language list appears.', 'Release the button.', 'Tap the button to scroll through the language list to your preferred language.', 'Press and hold the button until the countdown ends.']",False,1.0,0.9999986356,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
dyson_v12_Q055,Novice User,dyson_v12.pdf,en,Where are the serial numbers located on my vacuum cleaner?,Location/Definition,"You can find your serial numbers on your machine, battery and charger.",13,True,,True,1.0,0.9999997177000001,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dyson_v12_Q058,SafetyOfficer,dyson_v12.pdf,en,What is a potential consequence of using the motorized brush bar on incompatible carpet types?,Conditional Logic/Causal Reasoning,Some carpets will fuzz if a rotating brush bar is used when vacuuming.,6,True,,True,1.0,0.9999997385,5,,,,,,,,,,,,
dyson_v12_Q063,SafetyOfficer,dyson_v12.pdf,en,What is the primary safety action required before initiating an inspection for blockages?,Safety Information Lookup,Disconnect your machine from the charger before looking for blockages.,8,True,,True,1.0,0.9999996379,5,,,,,,,,,,,,
dyson_v12_Q064,SafetyOfficer,dyson_v12.pdf,en,"When attempting to locate blockages, what specific operational and physical hazards must be avoided?",Safety Information Lookup,Be careful not to touch the trigger and be aware of sharp objects.,8,True,,True,1.0,0.9999998146,5,,,,,,,,,,,,
dyson_v12_Q069,SafetyOfficer,dyson_v12.pdf,en,Are there any safety warnings or advisories against using non-Dyson branded click-in batteries with the V12 Detect Slim?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
dyson_v12_Q071,Novice User,dyson_v12.pdf,en,At what battery percentage is the machine considered fully charged according to the display?,Specification Lookup,Your battery is fully charged when the display shows 100%.,6,True,,True,1.0,0.9999996192,5,,,,,,,,,,,,
dyson_v12_Q074,Technician,dyson_v12.pdf,en,Is the brush bar of the Hair screw tool washable?,Specification Lookup,Your Hair screw tool doesn‘t have a washable brush bar.,12,True,,True,1.0,1.0,5,,,,,,,,,,,,
dyson_v12_Q078,Novice User,dyson_v12.pdf,en,"If the Hair screw tool needs cleaning, what should be used to wipe it over?",Tool/Material Identification,Wipe over with a damp lint-free cloth.,12,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dyson_v12_Q080,SafetyOfficer,dyson_v12.pdf,en,What types of cleaning products are explicitly warned against using on the machine itself?,Tool/Material Identification,Don’t use detergents or polishes to clean your machine.,13,True,,True,1.0,0.9999995147,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dyson_v12_Q090,Novice User,dyson_v12.pdf,en,On what parts of the Dyson V12 detect slim can I find its serial numbers?,Location/Definition,"You can find your serial numbers on your machine, battery and charger.",13,True,,True,1.0,1.0,5,,,,,,,,,,,,
dyson_v12_Q092,Technician,dyson_v12.pdf,en,"For achieving the best battery life and performance, which cleaning modes are advised?",Conditional Logic/Causal Reasoning,"To get the best perform|ance and life from your battery, use Eco or Auto/Med mode.",5,True,,True,1.0,0.9998592486000001,5,,,,,,,,,,,,
dyson_v12_Q112,Novice User,dyson_v12.pdf,en,What is the warranty period for the battery?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
dyson_v12_Q120,Novice User,dyson_v12.pdf,en,Describe the procedure for emptying the bin by releasing the dirt.,Procedural Step Inquiry,"Hold the machine over the bin, pointing downwards.\n\nFirmly push the red bin release button. The bin will slide down, cleaning the shroud\nas it goes, and the bin base will open.",7,True,"['Hold the machine over the bin, pointing downwards.', 'Firmly push the red bin release button. The bin will slide down, cleaning the shroud as it goes, and the bin base will open.']",False,1.0,0.9999997945,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
dyson_v12_Q121,Technician,dyson_v12.pdf,en,Where can the machine's serial numbers be found?,Location/Definition,"on your machine, battery and charger.",13,True,,True,1.0,1.0,5,,,,,,,,,,,,
dyson_v12_Q126,Technician,dyson_v12.pdf,en,What is the power rating of the Dyson V12 motor in Watts?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
dyson_v12_Q130,Technician,dyson_v12.pdf,en,What is the recommended angle for reattaching the end cap to the Laser Slim Fluffy™ cleaner head?,Specification Lookup,less than 90°,10,True,,True,1.0,0.9999995739,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dyson_v12_Q132,Technician,dyson_v12.pdf,en,What could be an adverse effect of overfilling the bin on the particle graph readings?,Conditional Logic/Causal Reasoning,Overfilling your bin could result in inaccurate readings on the particle graph.,7,True,,True,1.0,0.9999995929000001,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dyson_v12_Q134,Novice User,dyson_v12.pdf,en,How should one refit the battery onto the machine?,Procedural Step Inquiry,Align your battery with the handle and slide it in. Push firmly until it clicks\ninto place.,6,True,"['Align your battery with the handle and slide it in.', 'Push firmly until it clicks into place.']",False,1.0,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Partially Correct,Correctly Parsed,Correct,Correctly Parsed
electrolux_oven_Q001,Technician,electrolux_oven.pdf,en,What voltage and frequency is the oven EOB63100 designed to be connected to?,Specification Lookup,230-240V~(50Hz),30,True,,True,1.0,1.0,5,,,,,,,,,,,,
electrolux_oven_Q006,Novice User,electrolux_oven.pdf,en,What accessories are included with the oven in the grill set?,Tool/Material Identification,The grill set consists of grill and roasting pan.,10,True,,True,1.0,0.9999997115,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
electrolux_oven_Q011,Novice User,electrolux_oven.pdf,en,How do I perform the initial cleaning of the oven before first use?,Procedural Step Inquiry,"1. Turn the oven function switch to oven lighting . 2. Remove all accessories and the shelf support rails and wash them with warm water and washing up liquid. 3. Wash the floor of the oven in the same way using warm soapy water, and allow to dry. 4. Wipe the front of the appliance with a damp cloth.",7,True,"['Turn the oven function switch to oven lighting .', 'Remove all accessories and the shelf support rails and wash them with warm water and washing up liquid.', 'Wash the floor of the oven in the same way using warm soapy water, and allow to dry.', 'Wipe the front of the appliance with a damp cloth.']",True,1.0,0.9999997627,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
electrolux_oven_Q012,Technician,electrolux_oven.pdf,en,What are the steps to switch the oven on and then off?,Procedural Step Inquiry,"1. Turn the oven functions control knob to the desired function. 2. Turn the temperature control knob to the desired temperature. The power indicator is lit while the oven is on. The temperature power indicator is lit while the oven is heating up. 3. To turn the oven off, turn the oven func- tions and temperature control knob back to the Off position.",8,True,"['Turn the oven functions control knob to the desired function.', 'Turn the temperature control knob to the desired temperature. The power indicator is lit while the oven is on. The temperature power indicator is lit while the oven is heating up.', 'To turn the oven off, turn the oven functions and temperature control knob back to the Off position.']",False,1.0,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
electrolux_oven_Q014,Technician,electrolux_oven.pdf,en,Describe the procedure for supporting the self-cleaning process of the oven walls with catalytic coating.,Procedural Step Inquiry,"1. Remove all slide-in items from the oven. 2. Wash the oven floor with warm water and washing up liquid, then dry it. 3. Set the oven temperature to 250 °C. 4. Switch the oven off after one hour. 5. When the oven has cooled but is not cold, wipe off any remaining soiling with a soft damp sponge.",24,True,"['Remove all slide-in items from the oven.', 'Wash the oven floor with warm water and washing up liquid, then dry it.', 'Set the oven temperature to 250 °C.', 'Switch the oven off after one hour.', 'When the oven has cooled but is not cold, wipe off any remaining soiling with a soft damp sponge.']",True,1.0,0.9999979865,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
electrolux_oven_Q016,Novice User,electrolux_oven.pdf,en,What does the 'Defrost' oven function do?,Location/Definition,"For defrosting e. g. gateaux and flans, butter, bread, fruit or other fro- zen foods.",9,True,,True,1.0,1.0,5,,,,,,,,,,,,
electrolux_oven_Q017,Technician,electrolux_oven.pdf,en,What is the coating on the interior walls of the oven?,Location/Definition,a special enamel (catalytic coating).,5,True,,True,1.0,0.9999998099,5,,,,,,,,,,,,
electrolux_oven_Q019,Technician,electrolux_oven.pdf,en,What information should I have ready when contacting Customer Care about a fault?,Location/Definition,– Model description – Product number (PNC) – Serial number (S No.) (for numbers see rating plate) – Type of fault – Any error messages displayed by the appliance,37,False,,True,1.0,0.9999997077,5,,,,,,,,,,,,
electrolux_oven_Q021,Novice User,electrolux_oven.pdf,en,What happens if I pour water directly into the oven when it's hot?,Conditional Logic/Causal Reasoning,This could cause damage to the enamel and discolouration.,3,True,,True,1.0,1.0,5,,,,,,,,,,,,
electrolux_oven_Q022,SafetyOfficer,electrolux_oven.pdf,en,What can occur if the oven is lined with aluminium foil or if pots are placed directly on the oven floor?,Conditional Logic/Causal Reasoning,the heat that builds up will damage the oven enamel.,3,True,,True,1.0,0.9999997011,5,,,,,,,,,,,,
electrolux_oven_Q023,Technician,electrolux_oven.pdf,en,What is the behavior of the cooling fan after the oven has been switched off?,Conditional Logic/Causal Reasoning,"When the oven is switched off, the fan continues to run to cool the appli- ance down, then switches itself off auto- matically.",8,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
electrolux_oven_Q026,SafetyOfficer,electrolux_oven.pdf,en,What is the primary electrical safety requirement mentioned for this oven regarding its connection?,Safety Information Lookup,This oven must be earthed!,30,True,,True,1.0,1.0,5,,,,,,,,,,,,
electrolux_oven_Q028,SafetyOfficer,electrolux_oven.pdf,en,What potential hazard is associated with using ingredients containing alcohol in the oven?,Safety Information Lookup,Using ingredients containing alcohol in the oven may create an alcohol-air mix- ture that is easily ignited.,3,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
electrolux_oven_Q032,Technician,electrolux_oven.pdf,en,What is the precise wattage of the internal oven light bulb?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
electrolux_oven_Q036,Technician,electrolux_oven.pdf,en,What is the nominal voltage and frequency for this oven?,Specification Lookup,230-240V~(50Hz),30,True,,True,1.0,0.9999995119,5,,,,,,,,,,,,
electrolux_oven_Q041,Novice User,electrolux_oven.pdf,en,What kind of baking tins are suitable for the 'Conventional' oven function?,Tool/Material Identification,dark metal and non-stick tins,14,True,,True,1.0,0.9999996974,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
electrolux_oven_Q049,Technician,electrolux_oven.pdf,en,How do I support the self-cleaning process of the catalytic coating?,Procedural Step Inquiry,"1. Remove all slide-in items from the oven.\n2. Wash the oven floor with warm water and washing up liquid, then dry it.\n3. Set the oven temperature to 250 °C.\n4. Switch the oven off after one hour.\n5. When the oven has cooled but is not cold, wipe off any remaining soiling with a soft damp sponge.",24,True,"['Remove all slide-in items from the oven.', 'Wash the oven floor with warm water and washing up liquid, then dry it.', 'Set the oven temperature to 250 °C.', 'Switch the oven off after one hour.', 'When the oven has cooled but is not cold, wipe off any remaining soiling with a soft damp sponge.']",False,1.0,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
electrolux_oven_Q050,Novice User,electrolux_oven.pdf,en,How should I remove the shelf support rails for cleaning?,Procedural Step Inquiry,First pull the front of the rail away from the oven wall (1) and then unhook at the back (2).,25,True,['First pull the front of the rail away from the oven wall (1) and then unhook at the back (2).'],True,1.0,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Partially Correct,Correct,Partially Correct
electrolux_oven_Q052,Novice User,electrolux_oven.pdf,en,What is the purpose of the 'Roasting Pan' accessory?,Location/Definition,For baking and roasting or as a pan for col- lecting fat.,6,True,,True,1.0,1.0,5,,,,,,,,,,,,
electrolux_oven_Q060,Technician,electrolux_oven.pdf,en,"If the oven doesn't heat up and the clock is not set, what is the recommended action?",Conditional Logic/Causal Reasoning,Set the current time on the clock,29,True,,True,1.0,1.0,5,,,,,,,,,,,,
electrolux_oven_Q062,SafetyOfficer,electrolux_oven.pdf,en,What is the primary warning regarding the oven interior during use?,Safety Information Lookup,Warning: Risk of burns! The interior of the oven becomes hot during use.,3,True,,True,1.0,1.0,5,,,,,,,,,,,,
electrolux_oven_Q069,Novice User,electrolux_oven.pdf,en,How often should the catalytic liners be replaced?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
electrolux_oven_Q073,Novice User,electrolux_oven.pdf,en,How long does the warranty last?,Specification Lookup,12 months,35,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
electrolux_oven_Q079,Novice User,electrolux_oven.pdf,en,What kind of dishes can I use for roasting?,Tool/Material Identification,Any heat-resistant ovenware is suitable for roasting.,20,True,,True,1.0,0.9999994628000001,5,,,,,,,,,,,,
electrolux_oven_Q087,Novice User,electrolux_oven.pdf,en,What does it mean when the temperature light is on?,Location/Definition,The temperature power indicator is lit while the oven is heating up.,8,True,,True,1.0,0.9999996492000001,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
electrolux_oven_Q096,SafetyOfficer,electrolux_oven.pdf,en,Who is mandated to perform the electrical connection of this oven?,Safety Information Lookup,This appliance must be connected by a qualified electrician only.,3,True,,True,1.0,1.0,5,,,,,,,,,,,,
electrolux_oven_Q097,SafetyOfficer,electrolux_oven.pdf,en,What immediate actions should be taken if a fault occurs or the appliance is damaged?,Safety Information Lookup,take the fuses out or switch off.,3,True,,True,1.0,0.9999996789000001,5,,,,,,,,,,,,
electrolux_oven_Q103,Novice User,electrolux_oven.pdf,en,What kind of light bulb do I need to buy for the oven light?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
electrolux_oven_Q105,SafetyOfficer,electrolux_oven.pdf,en,What is the documented energy efficiency classification or rating for this oven model?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
electrolux_oven_Q106,Technician,electrolux_oven.pdf,en,What is the designed voltage and frequency for this oven's electricity supply?,Specification Lookup,230-240V~(50Hz),30,True,,True,1.0,1.0,5,,,,,,,,,,,,
electrolux_oven_Q109,Novice User,electrolux_oven.pdf,en,"If I'm baking lasagne using the 'Conventional' function, what's the temperature range suggested in the table?",Specification Lookup,180-200,19,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
electrolux_oven_Q112,Technician,electrolux_oven.pdf,en,What are the components of the grill set accessory?,Tool/Material Identification,The grill set consists of grill and roasting pan.,10,True,,True,1.0,0.9999997115,5,,,,,,,,,,,,
electrolux_oven_Q113,Novice User,electrolux_oven.pdf,en,What should be used to clean the external metal front of the oven?,Tool/Material Identification,"For metal fronts, use normal commer- cially available cleaning agents.",24,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
electrolux_oven_Q126,Novice User,electrolux_oven.pdf,en,What is the potential consequence of lining the oven with aluminium foil?,Conditional Logic/Causal Reasoning,the heat that builds up will damage the oven enamel.,3,True,,True,1.0,0.9999997011,5,,,,,,,,,,,,
electrolux_oven_Q137,Technician,electrolux_oven.pdf,en,"What are the specifications (e.g., wattage, type) for the replacement oven light bulb?",Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
heat_pump_dryer_Q001,Novice User,heat_pump_dryer.pdf,en,What is the maximum dry weight load capacity for this tumble dryer?,Specification Lookup,The maximum load for this tumble dryer is 8.0 kg (dry weight).,10,True,,True,1.0,0.9999996029,5,,,,,,,,,,,,
heat_pump_dryer_Q004,Novice User,heat_pump_dryer.pdf,en,How do I remove visible fluff from the fluff filters?,Procedural Step Inquiry, Pull the upper fluff filter forwards to\nremove it.\n\n Remove the fluff (see arrows) . . .\n\n . . . from the surfaces of all the fluff\n\nfilters.\n\n . . . from the perforated laundry de‐\nflector.\n\n Push the upper fluff filter back into\nposition until it clicks.,40,True,"['Pull the upper fluff filter forwards to remove it.', 'Remove the fluff (see arrows) from the surfaces of all the fluff filters and from the perforated laundry deflector.', 'Push the upper fluff filter back into position until it clicks.']",False,1.0,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Partially Correct,Partially Correct
heat_pump_dryer_Q005,Technician,heat_pump_dryer.pdf,en,What might happen if the condensed water is allowed to freeze in the pump and hoses?,Conditional Logic/Causal Reasoning,There is a risk of damage if the condensed water is allowed to freeze in the pump and hoses.,13,True,,True,1.0,1.0,5,,,,,,,,,,,,
heat_pump_dryer_Q006,Technician,heat_pump_dryer.pdf,en,What is the designation of the fluorinated greenhouse gas used as a refrigerant in this tumble dryer?,Tool/Material Identification,Designation: R 134a,9,True,,True,1.0,0.9999997586,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
heat_pump_dryer_Q014,Novice User,heat_pump_dryer.pdf,en,What is the warranty period for this tumble dryer if purchased in Canada?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
heat_pump_dryer_Q017,Novice User,heat_pump_dryer.pdf,en,What is the function of the  sensor on the display?,Location/Definition,Scrolls down the list to the next op‐\ntion or decreases a value.,17,True,,False,1.0,0.9999995177000001,5,,,,,,,,,,,,
heat_pump_dryer_Q021,Technician,heat_pump_dryer.pdf,en,"How often, in months, is it recommended to descale the heat pump unit?",Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
heat_pump_dryer_Q026,SafetyOfficer,heat_pump_dryer.pdf,en,Why is it advised not to connect the tumble dryer via a controllable socket like a timer?,Conditional Logic/Causal Reasoning,"If the drying programme is interrupted before the end of the cooling down phase, this could cause the laundry to self-ignite.",10,True,,True,1.0,1.0,5,,,,,,,,,,,,
heat_pump_dryer_Q031,Technician,heat_pump_dryer.pdf,en,What is the pre-set code for restricting dryer access in the settings menu?,Location/Definition,The code is 250,79,True,,True,1.0,0.9999997483,5,,,,,,,,,,,,
heat_pump_dryer_Q034,Technician,heat_pump_dryer.pdf,en,What tool should be used to clean the heat exchanger cooling fins if there is visible soiling?,Tool/Material Identification,Clean using a vacuum cleaner\n\nwith a dusting brush attached.,43,True,,False,1.0,1.0,5,,,,,,,,,,,,
heat_pump_dryer_Q037,Technician,heat_pump_dryer.pdf,en,What is the refrigerant designation used in this tumble dryer's heat pump?,Specification Lookup,R 134a,9,True,,True,1.0,0.9999997293,5,,,,,,,,,,,,
heat_pump_dryer_Q040,Technician,heat_pump_dryer.pdf,en,"For the Cottons  programme, what is the energy consumption in kWh for an 8.0 kg load spun at 1000 rpm?",Specification Lookup,2.14,74,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Unclear or Flawed,Correct,Fully Grounded,Clear & Usable,,,,
heat_pump_dryer_Q043,Technician,heat_pump_dryer.pdf,en,What is the designation of the stacking kit required to install this dryer above a Miele washing machine?,Tool/Material Identification,"The appropriate ""WTV"" stacking kit (availa‐ ble to order) to match your tumble dryer and washing machine is re‐ quired.",15,True,,True,1.0,1.0,5,,,,,,,,,,,,
heat_pump_dryer_Q047,Novice User,heat_pump_dryer.pdf,en,What's the right way to empty the water container?,Procedural Step Inquiry," Pull out the condensed water con‐ tainer.\n\n To prevent water running out, hold it at the front and towards the back and keep it in a horizontal position when carrying it.\n\n Empty the container.\n\n Replace the container in the dryer.",38,True,"['Pull out the condensed water container.', 'To prevent water running out, hold it at the front and towards the back and keep it in a horizontal position when carrying it.', 'Empty the container.', 'Replace the container in the dryer.']",False,1.0,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
heat_pump_dryer_Q054,Novice User,heat_pump_dryer.pdf,en,"The display says ""Clean out airways"". What does that mean?",Location/Definition,There is a build-up of fluff in the airways.,50,True,,True,1.0,1.0,5,,,,,,,,,,,,
heat_pump_dryer_Q060,Technician,heat_pump_dryer.pdf,en,What is a potential outcome if damp or wet fluff filters and plinth filter are reinserted into the appliance?,Conditional Logic/Causal Reasoning,Damp or wet filters could cause operational faults.,13,True,,True,1.0,0.9999997361,5,,,,,,,,,,,,
heat_pump_dryer_Q064,SafetyOfficer,heat_pump_dryer.pdf,en,"What items, often found in pockets, pose a hazard and must be removed from laundry prior to drying?",Safety Information Lookup,"lighters, matches",11,True,,True,1.0,0.9999995041,5,,,,,,,,,,,,
heat_pump_dryer_Q067,Novice User,heat_pump_dryer.pdf,en,How much does Miele charge for a replacement fragrance flacon?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
heat_pump_dryer_Q071,SafetyOfficer,heat_pump_dryer.pdf,en,What is the primary advice given before using the tumble dryer for the first time regarding the instructions?,Safety Information Lookup,"To avoid the risk of accidents and damage to the tumble dryer, please read these instructions carefully before using it for the first time.",6,True,,True,1.0,0.9999998802000001,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
heat_pump_dryer_Q073,SafetyOfficer,heat_pump_dryer.pdf,en,What hazard can arise from connecting the appliance to the mains with an extension lead or multi-socket adapter?,Safety Information Lookup,These can overheat and are a fire hazard.,8,True,,True,1.0,0.9999989828,5,,,,,,,,,,,,
heat_pump_dryer_Q074,SafetyOfficer,heat_pump_dryer.pdf,en,"What types of items, if not thoroughly cleaned and still soiled with grease or oil, pose a fire risk if dried?",Safety Information Lookup,"Items, such as workwear, which have not been thoroughly cleaned and which are still soiled with grease, oil or other depos‐ its (such as cosmetics, lotions etc).",11,True,,True,1.0,0.9999977055,5,,,,,,,,,,,,
heat_pump_dryer_Q075,SafetyOfficer,heat_pump_dryer.pdf,en,What could be the consequence of using the tumble dryer with damaged fluff filters?,Safety Information Lookup,This would cause an excessive build-up of fluff which in turn would cause a fault.,13,True,,True,1.0,1.0,5,,,,,,,,,,,,
heat_pump_dryer_Q077,Technician,heat_pump_dryer.pdf,en,What is the specified height of the tumble dryer?,Specification Lookup,Height 850 mm,75,True,,True,1.0,1.0,5,,,,,,,,,,,,
heat_pump_dryer_Q081,Novice User,heat_pump_dryer.pdf,en,What type of fragrance flacons should I use with this dryer?,Tool/Material Identification,Only use genuine Miele original fragrance flacons.,14,True,,True,1.0,0.9999996583,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
heat_pump_dryer_Q092,Novice User,heat_pump_dryer.pdf,en,What are the steps for removing laundry and subsequent immediate actions?,Procedural Step Inquiry," Pull the door open at the side with\nthe orange marker.\n\n Remove the laundry.\n\nCheck that all items have been re‐\n\nmoved from the drum.\n\n If the dryer is still switched on, switch\nit off with the  button.",27,True,"['Pull the door open at the side with the orange marker.', 'Remove the laundry.', 'Check that all items have been removed from the drum.', 'If the dryer is still switched on, switch it off with the \ue041 button.']",False,1.0,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Partially Correct,Correctly Parsed,Partially Correct,Correctly Parsed
heat_pump_dryer_Q095,Technician,heat_pump_dryer.pdf,en,What are the initial steps to lever off the bottom right grille?,Procedural Step Inquiry, Then insert a spoon handle behind\nthe grille on the right hand side.\n\n Lever off the grille at the top (1.).\n\n Lever off the grille at the bottom (2.).,55,True,"['Then insert a spoon handle behind the grille on the right hand side.', 'Lever off the grille at the top (1.).', 'Lever off the grille at the bottom (2.).']",False,1.0,0.9999997833000001,5,,,,,Unclear or Flawed,,,Unclear or Flawed,Incorrect,Incorrectly Parsed,Incorrect,Correctly Parsed
heat_pump_dryer_Q107,Novice User,heat_pump_dryer.pdf,en,What's the biggest load of clothes I can put in this dryer?,Specification Lookup,The maximum load for this tumble dryer is 8.0 kg (dry weight).,10,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
heat_pump_dryer_Q111,Technician,heat_pump_dryer.pdf,en,What tool is specified for cleaning the cooling fins of the condenser unit if they are soiled?,Tool/Material Identification,Clean using a vacuum cleaner with a dusting brush attached.,43,True,,False,1.0,0.8499960178,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
heat_pump_dryer_Q118,Technician,heat_pump_dryer.pdf,en,Describe the procedure for correctly refitting the plinth filter.,Procedural Step Inquiry, Fit the filter back on the handle. Make sure it is the correct way round.\n\n First insert the handle with the plinth filter attached over the two guide pins.\n\n– The word Miele on the handle must be the correct way up.\n\n Push the plinth filter in completely.,44,True,"['Fit the filter back on the handle. Make sure it is the correct way round.', 'First insert the handle with the plinth filter attached over the two guide pins. The word Miele on the handle must be the correct way up.', 'Push the plinth filter in completely.']",False,1.0,0.9999996777000001,5,,,,,Clear & Usable,,,Clear & Usable,Partially Correct,Correctly Parsed,Partially Correct,Correctly Parsed
heat_pump_dryer_Q121,Novice User,heat_pump_dryer.pdf,en,What does the  symbol on my clothes' care label mean when it comes to tumble drying?,Location/Definition,Reduced temperature: Select Gentle tumble (for delicate textiles),22,True,,True,1.0,0.9999997192000001,5,,,Partially Correct,Fully Grounded,Unclear or Flawed,Partially Correct,Fully Grounded,Unclear or Flawed,,,,
heat_pump_dryer_Q124,Novice User,heat_pump_dryer.pdf,en,Where is the fragrance flacon supposed to be inserted?,Location/Definition,The fragrance flacon is inserted in the upper fluff filter in the opening on the right hand side beside the grip.,46,True,,False,1.0,1.0,5,,,,,,,,,,,,
heat_pump_dryer_Q127,SafetyOfficer,heat_pump_dryer.pdf,en,What fault can occur if the tumble dryer is operated without fluff filters or with damaged ones?,Conditional Logic/Causal Reasoning,This would cause an excessive build-up of fluff which in turn would cause a fault.,13,True,,True,1.0,0.9999997919,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
